153,The Karate Kid Part III,John G. Avildsen,
154,Hail  Caesar!,Ethan Coen, Joel Coen
155,Every Which Way But Loose,James Fargo,
156,The Butterfly Effect,Eric Bress, J. Mackye Gruber
157,Abraxas  Guardian of the Universe,Damian Lee,
158,Hot Dog... The Movie,Peter Markle,
159,Hamburger: The Motion Picture,Mike Marvin,
160,Mystery Men,Kinka Usher,
161,Mortal Kombat,Paul W.S. Anderson,
162,Swordfish,Dominic Sena,
163,Catwoman,Pitof,
164,Stroker Ace,Hal Needham,
165,Rise of the Planet of the Apes,Rupert Wyatt,
166,The Day After Tomorrow,Roland Emmerich,
167,Under Siege 2: Dark Territory,Geoff Murphy,
169,The Substitute,Robert Mandel,
170,Timecop,Peter Hyams,
171,Secret Window,David Koepp,
172,Double Dragon,James Yukich,
174,Jason Goes to Hell: The Final Friday,Adam Marcus,
175,I Still Know What You Did Last Summer,Danny Cannon,
176,Child's Play 3,Jack Bender,
177,Wild in the Streets,Barry Shear,
178,Johnny Mnemonic,Robert Longo,
179,The Hand That Rocks the Cradle,Curtis Hanson,
180,Buried Alive,Frank Darabont,
181,Three Men and a Baby Grand,N/A,
182,Jingle All the Way 2,Alex Zamm,
183,Super Mario Bros.,Annabel Jankel, Rocky Morton
184,Look Who's Talking Now,Tom Ropelewski,
185,I  Frankenstein,Stuart Beattie,
186,Winter's Tale,Akiva Goldsman,
187,Dracula Untold,Gary Shore,
188,Sabotage,David Ayer,
189,Taking Lives,D.J. Caruso,
190,Stigmata,Rupert Wainwright,
191,Seventh Son,Sergei Bodrov,
192,White Noise,Geoffrey Sax,
193,Teen Wolf Too,Christopher Leitch,
194,Fatal Beauty,Tom Holland,
195,Moontrap,Robert Dyke,
196,Twisted,Philip Kaufman,
197,Next of Kin,John Irvin,
198,The Juror,Brian Gibson,
200,Red Heat,Walter Hill,
201,Loverboy,Joan Micklin Silver,
202,Teen Witch,Dorian Walker,
203,House Arrest,Harry Winer,
204,Blind Fury,Phillip Noyce,
205,Space Jam,Joe Pytka,
206,The Lost World: Jurassic Park,Steven Spielberg,
207,Stealth,Rob Cohen,
208,Camp Nowhere,Jonathan Prince,
209,Son of the Mask,Lawrence Guterman,
210,Terminator 3: Rise of the Machines,Jonathan Mostow,
211,DragonHeart,Rob Cohen,
212,The Matrix Revolutions,Lana Wachowski, Lilly Wachowski
213,The League of Extraordinary Gentlemen,Stephen Norrington,
214,Green Lantern,Martin Campbell,
215,Mortal Kombat: Annihilation,John R. Leonetti,
216,Cyber Seduction: His Secret Life,Tom McLoughlin,
217,The Dead Pool,Buddy Van Horn,
218,The Devil's Advocate,Taylor Hackford,
219,Brainscan,John Flynn,
220,Killer Workout,David A. Prior,
221,Freddy vs. Jason,Ronny Yu,
222,Thinner,Tom Holland,
223,Never Say Never Again,Irvin Kershner,
224,Supergirl,N/A,
225,Weekend at Bernie's,Ted Kotcheff,
226,Weekend at Bernie's II,Robert Klane,
227,Care Bears Movie II: A New Generation,Dale Schott,
228,Kill Bill: Vol. 1,Quentin Tarantino,
229,Star Wars: Episode II - Attack of the Clones,George Lucas,
230,Santa Claus: The Movie,Jeannot Szwarc,
231,Entourage,N/A,
232,Russell Madness,Robert Vince,
233,Pixels,Chris Columbus,
234,The Last Witch Hunter,Breck Eisner,
235,American Shaolin,Lucas Lowe,
236,Daredevil,N/A,
237,The Watcher,Joe Charbanic,
238,Olympus Has Fallen,Antoine Fuqua,
239,The Shadow,Russell Mulcahy,
240,A Letter from Death Row,Marvin Baker, Bret Michaels
241,Nightmare Beach,James Justice, Umberto Lenzi
242,Antitrust,Peter Howitt,
243,Batman v Superman: Dawn of Justice,Zack Snyder,
244,Dungeons & Dragons,Courtney Solomon,
245,My Best Friend's Wedding,P.J. Hogan,
246,The Wizard of Oz,Victor Fleming, George Cukor
247,Larry the Cable Guy: Health Inspector,Trent Cooper,
248,Waterworld,Kevin Reynolds,
249,American Dreamz,Paul Weitz,
250,Highlander II: The Quickening,Russell Mulcahy,
251,Kindergarten Cop 2,Don Michael Paul,
252,X-Men: The Last Stand,Brett Ratner,
253,Speed 2: Cruise Control,Jan de Bont,
254,Don't Tell Mom the Babysitter's Dead,Stephen Herek,
255,Street Fighter,Steven E. de Souza,
256,Another 48 Hrs.,Walter Hill,
257,Wild Wild West,Barry Sonnenfeld,
258,Lady in the Water,M. Night Shyamalan,
259,Star Trek V: The Final Frontier,William Shatner,
260,Con Air,Simon West,
261,Predator 2,Stephen Hopkins,
262,Jupiter Ascending,Lana Wachowski, Lilly Wachowski
263,Teenage Mutant Ninja Turtles III,Stuart Gillard,
264,The Amazing Spider-Man 2,Marc Webb,
265,The Substitute 2: School's Out,Steven Pearl,
266,Anaconda,Luis Llosa,
267,Hollow Man,Paul Verhoeven,
268,Pet Sematary II,Mary Lambert,
269,Halloween: The Curse of Michael Myers,Joe Chappelle,
270,Ernest Scared Stupid,John R. Cherry III,
271,Texas Chainsaw Massacre: The Next Generation,Kim Henkel,
272,Ghosts Can't Do It,John Derek,
274,Fantastic Four,Tim Story,
275,The Happening,M. Night Shyamalan,
276,Suburban Commando,Burt Kennedy,
277,Surviving the Game,Ernest R. Dickerson,
278,End of Days,Peter Hyams,
279,Demolition Man,Marco Brambilla,
280,The Santa Clause 3: The Escape Clause,Michael Lembeck,
281,Batman Begins,Christopher Nolan,
282,Collateral Beauty,David Frankel,
283,Dirty Grandpa,Dan Mazer,
284,Suicide Squad,David Ayer,
285,Gods of Egypt,Alex Proyas,
