Title,Director,IMdB Rating,Rating,Runtime,Release Date,Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Actor,Actor7,Actor8,Actor9,Writer,Writer10,Writer11,Writer12,Writer13,Writer14,Writer15,Writer16,Writer17,,,
Casper,Brad Silberling,6.1,PG,100 min,26-May-95,Comedy, Family, Fantasy,,,,Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty,Joseph Oriolo (characters), Sherri Stoner, Deanna Oliver,,,,,,,,,
The Last Witch Hunter,Breck Eisner,6,PG-13,106 min,23-Oct-15,Action, Adventure, Fantasy,,,,Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson,Cory Goodman, Matt Sazama, Burk Sharpless,,,,,,,,,
Virtuosity,Brett Leonard,5.6,R,106 min,4-Aug-95,Action, Crime, Sci-Fi, Thriller,,,Denzel Washington, Kelly Lynch, Russell Crowe, Stephen Spinella,Eric Bernt,,,,,,,,,,,
X-Men: The Last Stand,Brett Ratner,6.7,PG-13,104 min,26-May-06,Action, Adventure, Sci-Fi, Thriller,,,Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart,Simon Kinberg, Zak Penn,,,,,,,,,,
The Juror,Brian Gibson,5.6,R,118 min,2-Feb-96,Drama, Thriller,,,,,Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini,George Dawes Green (novel), Ted Tally (screenplay),,,,,,,,,,
Jingle All the Way,Brian Levant,5.5,PG,89 min,22-Nov-96,Comedy, Family,,,,,Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson,Randy Kornfield,,,,,,,,,,,
The Flintstones,Brian Levant,4.8,PG,91 min,27-May-94,Comedy, Family, Fantasy,,,,John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell,Tom S. Parker, Jim Jennewein, Steven E. de Souza,,,,,,,,,
Hard to Kill,Bruce Malmuth,5.8,R,96 min,9-Feb-90,Action, Crime, Drama, Thriller,,,Steven Seagal, Kelly LeBrock, William Sadler, Frederick Coffin,Steven McKay,,,,,,,,,,,
The Dead Pool,Buddy Van Horn,6.3,R,91 min,13-Jul-88,Action, Crime, Mystery, Thriller,,,Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim,Harry Julian Fink (characters), Rita M. Fink (characters), Steve Sharon (story), Durk Pearson (story), Sandy Shaw (story),,,,,,,
Suburban Commando,Burt Kennedy,4.4,PG,90 min,4-Oct-91,Action, Comedy, Sci-Fi,,,,Hulk Hogan, Christopher Lloyd, Shelley Duvall, Larry Miller,Frank A. Cappello,,,,,,,,,,,
Trick or Treat,Charles Martin Smith,5.8,R,98 min,24-Oct-86,Comedy, Horror, Music,,,,Marc Price, Tony Fields, Lisa Orgolini, Doug Savant,Rhet Topham (story), Michael S. Murphey (screenplay), Joel Soisson (screenplay), Rhet Topham (screenplay),,,,,,,,
Witless Protection,Charles Robert Carner,3.2,PG-13,97 min,22-Feb-08,Comedy, Crime,,,,,Larry the Cable Guy, Richard Bull, J. David Moeller, Will Clinger,Charles Robert Carner (screenplay), Charles Robert Carner (story), Alan C. Blomquist (story),,,,,,,,,
K-911,Charles T. Kanganis,5.7,PG-13,91 min,12-Dec-99,Action, Comedy, Crime,,,,Jim Belushi, Christine Tucci, James Handy, Wade Williams,Steven Siegel (characters), Scott Myers (characters), Gary Scott Thompson,,,,,,,,,
The X Files: I Want to Believe,Chris Carter,5.9,PG-13,104 min,25-Jul-08,Drama, Horror, Mystery, Sci-Fi, Thriller,,David Duchovny, Gillian Anderson, Amanda Peet, Billy Connolly,Frank Spotnitz, Chris Carter, Chris Carter (television series &quot;The X-Files&quot;),,,,,,,,,
