Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Cliffhanger,Renny Harlin,,123,6.4,R,113,1993-05-28,Action, Adventure, Thriller,,,,Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner,John Long premise, Michael France screen story, Michael France screenplay, Sylvester Stallone screenplay,,,,,
New Nightmare,Wes Craven,,124,6.5,R,112,1994-10-14,Fantasy, Horror, Mystery, Thriller,,,Jeff Davis, Heather Langenkamp, Miko Hughes, Matt Winston,Wes Craven characters, Wes Craven,,,,,,,
Body Parts,Eric Red,,125,5.5,R,88,1991-08-02,Horror, Thriller,,,,,Jeff Fahey, Lindsay Duncan, Kim Delaney, Zakes Mokae,Pierre Boileau novel, Thomas Narcejac novel, Patricia Herskovic screen story, Joyce Taylor screen story,,,,,
Cat's Eye,Lewis Teague,,126,6.3,PG-13,94,1985-04-12,Comedy, Horror, Thriller,,,,Drew Barrymore, James Woods, Alan King, Kenneth McMillan,Stephen King screenplay,,,,,,,,
Chopping Mall,Jim Wynorski,,127,5.6,R,77,1986-03-21,Comedy, Horror, Sci-Fi,,,,Kelli Maroney, Tony O'Dell, Russell Todd, Karrie Emerson,Jim Wynorski, Steve Mitchell,,,,,,,
Casper,Brad Silberling,,128,6.1,PG,100,1995-05-26,Comedy, Family, Fantasy,,,,Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty,Joseph Oriolo characters, Sherri Stoner, Deanna Oliver,,,,,,
Scream 3,Wes Craven,,129,5.6,R,116,2000-02-04,Horror, Mystery,,,,,Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford,Kevin Williamson characters, Ehren Kruger,,,,,,,
Stay Tuned,Peter Hyams,,130,6.1,PG,88,1992-08-14,Adventure, Comedy, Fantasy,,,,John Ritter, Pam Dawber, Jeffrey Jones, David Tom,Tom S. Parker screenplay, Jim Jennewein screenplay, Tom S. Parker story, Jim Jennewein story,,,,,
Deep Blue Sea,Renny Harlin,,131,5.8,R,105,1999-07-28,Action, Sci-Fi, Thriller,,,,Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie,Duncan Kennedy, Donna Powers, Wayne Powers,,,,,,
China O'Brien,Robert Clouse,,132,5.1,R,86,1992-01-10,Action,,,,,,Cynthia Rothrock, Richard Norton, Keith Cooke, Doug Wright,Robert Clouse screenplay, Sandra Weintraub story,,,,,,,
Copycat,Jon Amiel,,133,6.6,R,123,1995-10-27,Drama, Mystery, Thriller,,,,Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara,Ann Biderman, David Madsen,,,,,,,
Date with an Angel,Tom McLoughlin,,134,5.8,PG,105,1987-11-20,Comedy, Fantasy, Romance,,,,Michael E. Knight, Phoebe Cates, Emmanuelle Béart, David Dukes,Tom McLoughlin,,,,,,,,
Ghostbusters II,Ivan Reitman,,135,6.5,PG,108,1989-06-16,Action, Comedy, Fantasy, Sci-Fi,,,Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Dan Aykroyd characters, Harold Ramis characters, Harold Ramis, Dan Aykroyd,,,,,
The Good Son,Joseph Ruben,,136,6.4,R,87,1993-09-24,Drama, Horror, Thriller,,,,Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse,Ian McEwan,,,,,,,,
Jingle All the Way,Brian Levant,,137,5.5,PG,89,1996-11-22,Comedy, Family,,,,,Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson,Randy Kornfield,,,,,,,,
The Core,Jon Amiel,,138,5.5,PG-13,135,2003-03-28,Action, Adventure, Sci-Fi, Thriller,,,Christopher Shyer, Ray Galletti, Eileen Pedde, Rekha Sharma,Cooper Layne, John Rogers,,,,,,,
After Earth,M. Night Shyamalan,,139,4.8,PG-13,100,2013-05-31,Action, Adventure, Sci-Fi,,,,Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz,Gary Whitta screenplay, M. Night Shyamalan screenplay, Will Smith story,,,,,,
Getaway,Courtney Solomon,,141,4.4,PG-13,90,2013-08-30,Action, Crime, Thriller,,,,Ethan Hawke, Selena Gomez, Jon Voight, Rebecca Budig,Sean Finegan, Gregg Maxwell Parker,,,,,,,
A Good Day to Die Hard,John Moore,,142,5.3,R,98,2013-02-14,Action, Thriller,,,,,Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead,Skip Woods, Roderick Thorp certain original characters by,,,,,,,
Pray for Death,Gordon Hessler,,143,5.8,R,92,1985-11-01,Action, Crime, Drama,,,,Shô Kosugi, James Booth, Donna Kei Benz, Norman Burton,James Booth,,,,,,,,
Masters of the Universe,Gary Goddard,,144,5.4,PG,106,1987-08-07,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty,David Odell,,,,,,,,
Hard Target,John Woo,,145,6.1,R,97,1993-08-20,Action, Thriller,,,,,Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen,Chuck Pfarrer,,,,,,,,
Mrs. Doubtfire,Chris Columbus,,146,7,PG-13,125,1993-11-24,Comedy, Drama, Family,,,,Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein,Anne Fine novel, Randi Mayem Singer screenplay, Leslie Dixon screenplay,,,,,,
Blame It on Rio,Stanley Donen,,147,5.7,R,100,1984-02-17,Comedy, Romance,,,,,Michael Caine, Joseph Bologna, Valerie Harper, Michelle Johnson,Charlie Peters screenplay, Larry Gelbart screenplay,,,,,,,
Canvas,Joseph Greco,,148,6.7,PG-13,101,2008-12-12,Drama,,,,,,Griffin Miner, Marcia Gay Harden, Devon Gearhart, Julie Upton,Joseph Greco,,,,,,,,
Dreamcatcher,Lawrence Kasdan,,149,5.5,R,134,2003-03-21,Drama, Horror, Sci-Fi, Thriller,,,Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis,Stephen King novel, William Goldman screenplay, Lawrence Kasdan screenplay,,,,,,
My Science Project,Jonathan R. Betuel,,150,6,PG,94,1985-08-09,Action, Adventure, Comedy, Sci-Fi,,,John Stockwell, Danielle von Zerneck, Fisher Stevens, Raphael Sbarge,Jonathan R. Betuel,,,,,,,,
North,Rob Reiner,,151,4.4,PG,87,1994-07-22,Adventure, Comedy, Drama, Family, Fantasy,,Elijah Wood, Jason Alexander, Julia Louis-Dreyfus, Marc Shaiman,Alan Zweibel novel, Alan Zweibel screenplay, Andrew Scheinman screenplay,,,,,,
Joysticks,Greydon Clark,,152,4.2,R,88,1983-03-04,Comedy,,,,,,Joe Don Baker, Leif Green, Jim Greenleaf, Scott McGinnis,Al Gomez, Mickey Epps, Curtis Burch,,,,,,
The Karate Kid Part III,John G. Avildsen,,153,5.1,PG,112,1989-06-30,Action, Drama, Family, Sport,,,Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith,Robert Mark Kamen characters, Robert Mark Kamen,,,,,,,
Hail  Caesar!,Ethan Coen, Joel Coen,154,6.3,PG-13,106,2016-02-05,Comedy, Mystery,,,,,Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes,Joel Coen, Ethan Coen,,,,,,,
Every Which Way But Loose,James Fargo,,155,6.3,PG,114,1978-12-20,Action, Comedy,,,,,Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo,Jeremy Joe Kronsberg,,,,,,,,
The Butterfly Effect,Eric Bress, J. Mackye Gruber,156,7.7,R,113,2004-01-23,Drama, Sci-Fi, Thriller,,,,Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson,J. Mackye Gruber, Eric Bress,,,,,,,
Abraxas  Guardian of the Universe,Damian Lee,,157,2.7,R,90,1991-03-01,Action, Sci-Fi,,,,,Jesse Ventura, Sven-Ole Thorsen, Damian Lee, Jerry Levitan,Damian Lee,,,,,,,,
Hot Dog... The Movie,Peter Markle,,158,4.8,R,96,1984-01-13,Comedy, Romance, Sport,,,,David Naughton, Patrick Houser, Tracy Smith, John Patrick Reger,Mike Marvin,,,,,,,,
Hamburger: The Motion Picture,Mike Marvin,,159,4.9,R,90,1986-01-01,Comedy,,,,,,Leigh McCloskey, Dick Butkus, Randi Brooks, Chuck McCann,Donald Ross,,,,,,,,
Mystery Men,Kinka Usher,,160,6.1,PG-13,121,1999-08-06,Action, Comedy, Fantasy, Sci-Fi,,,Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell,Neil Cuthbert, Bob Burden comic book series,,,,,,,
Mortal Kombat,Paul W.S. Anderson,,161,5.8,PG-13,101,1995-08-18,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa,Ed Boon video games, John Tobias video games, Kevin Droney,,,,,,
Swordfish,Dominic Sena,,162,6.5,R,99,2001-06-08,Action, Crime, Thriller,,,,John Travolta, Hugh Jackman, Halle Berry, Don Cheadle,Skip Woods,,,, John Rogers screenplay,,,,
Catwoman,Pitof,,163,3.3,PG-13,104,2004-07-23,Action, Crime, Fantasy,,,,Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson,Bob Kane characters, Theresa Rebeck story, John Brancato story, Michael Ferris story,,,,,
Stroker Ace,Hal Needham,,164,4.8,PG,96,1983-07-01,Action, Comedy, Romance, Sport,,,Burt Reynolds, Ned Beatty, Jim Nabors, Parker Stevenson,William Neely novel, Robert K. Ottum novel, Hugh Wilson screenplay, Hal Needham screenplay,,,,,
Rise of the Planet of the Apes,Rupert Wyatt,,165,7.6,PG-13,105,2011-08-05,Action, Drama, Sci-Fi, Thriller,,,Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings,Rick Jaffa, Amanda Silver,,,,,,,
The Day After Tomorrow,Roland Emmerich,,166,6.4,PG-13,124,2004-05-28,Action, Adventure, Sci-Fi, Thriller,,,Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok,Roland Emmerich story, Roland Emmerich screenplay, Jeffrey Nachmanoff screenplay,,,,,,
Under Siege 2: Dark Territory,Geoff Murphy,,167,5.4,R,100,1995-07-14,Action, Thriller,,,,,Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl,Richard Hatem, Matt Reeves, J.F. Lawton characters,,,,,,
The Substitute,Robert Mandel,,169,5.9,R,114,1996-04-19,Action, Crime, Drama, Thriller,,,Tom Berenger, Raymond Cruz, William Forsythe, Luis Guzmán,Roy Frumkes, Rocco Simonelli, Alan Ormsby,,,,,,
Timecop,Peter Hyams,,170,5.8,R,99,1994-09-16,Action, Crime, Sci-Fi, Thriller,,,Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill,Mark Verheiden screenplay, Mike Richardson story, Mark Verheiden story, Mike Richardson comic series,,,,,
Secret Window,David Koepp,,171,6.6,PG-13,96,2004-03-12,Drama, Mystery, Thriller,,,,Johnny Depp, John Turturro, Maria Bello, Timothy Hutton,Stephen King novel, David Koepp screenplay,,,,,,,
Double Dragon,James Yukich,,172,3.7,PG-13,96,1994-11-04,Action, Adventure, Comedy, Sci-Fi,,,Robert Patrick, Mark Dacascos, Scott Wolf, Kristina Wagner,Paul Dini story, Neal Shusterman story, Michael Davis screenplay, Peter Gould screenplay,,,,,
Jason Goes to Hell: The Final Friday,Adam Marcus,,174,4.3,R,87,1993-08-13,Fantasy, Horror, Thriller,,,,John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams,Jay Huguely story, Adam Marcus story, Dean Lorey screenplay, Jay Huguely screenplay,,,,,
I Still Know What You Did Last Summer,Danny Cannon,,175,4.6,R,100,1998-11-13,Horror, Mystery,,,,,Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer,Lois Duncan characters, Trey Callaway,,,,,,,
Child's Play 3,Jack Bender,,176,5.1,R,90,1991-08-30,Horror, Thriller,,,,,Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine,Don Mancini characters, Don Mancini,,,,,,,
Wild in the Streets,Barry Shear,,177,6,R,97,1968-05-29,Comedy, Drama, Music,,,,Shelley Winters, Christopher Jones, Diane Varsi, Hal Holbrook,Robert Thom,,,,,,,,
Johnny Mnemonic,Robert Longo,,178,5.6,R,96,1995-05-26,Action, Crime, Sci-Fi, Thriller,,,Keanu Reeves, Dina Meyer, Ice-T, Takeshi Kitano,William Gibson screenplay, William Gibson short story,,,,,,,
The Hand That Rocks the Cradle,Curtis Hanson,,179,6.6,R,110,1992-01-10,Drama, Thriller,,,,,Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson,Amanda Silver,,,,,,,,
Buried Alive,Frank Darabont,,180,6.6,PG-13,93,1990-05-09,Horror, Romance, Thriller,,,,Tim Matheson, Jennifer Jason Leigh, William Atherton, Hoyt Axton,David A. Davies story, Mark Patrick Carducci teleplay,,,,,,,
Three Men and a Baby Grand,N/A,,181,5.4,N/A,30,N/A,Comedy,,,,,,Jonathan Biggins, Drew Forsythe, Phillip Scott,N/A,,,,,,,,,
Jingle All the Way 2,Alex Zamm,,182,3.9,PG,93,2014-12-02,Comedy, Family,,,,,Larry the Cable Guy, Brian Stepanek, Anthony Carelli, Kennedi Clements,Randy Kornfield based on &quot;Jingle All the Way&quot; written by, Stephen Mazur,,,,,,,
Super Mario Bros.,Annabel Jankel, Rocky Morton,183,4,PG,104,1993-05-28,Adventure, Comedy, Family, Fantasy, Sci-Fi,,Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis,Parker Bennett, Terry Runte, Ed Solomon,,,,,,
Look Who's Talking Now,Tom Ropelewski,,184,4.3,PG-13,96,1993-11-05,Comedy, Family, Romance,,,,John Travolta, Kirstie Alley, David Gallagher, Tabitha Lupien,Tom Ropelewski, Leslie Dixon, Amy Heckerling characters,,,,,,
I  Frankenstein,Stuart Beattie,,185,5.1,PG-13,92,2014-01-24,Action, Fantasy, Horror, Sci-Fi, Thriller,,Aaron Eckhart, Yvonne Strahovski, Miranda Otto, Bill Nighy,Stuart Beattie screenplay, Kevin Grevioux screen story, Stuart Beattie screen story, Kevin Grevioux Darkstorm Studios graphic novel,,,,,
Winter's Tale,Akiva Goldsman,,186,6.2,PG-13,118,2014-02-14,Drama, Fantasy, Mystery, Romance,,,Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Crane,Akiva Goldsman screenplay, Mark Helprin novel,,,,,,,
Dracula Untold,Gary Shore,,187,6.3,PG-13,92,2014-10-10,Action, Drama, Fantasy, Horror, War,,Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson,Matt Sazama screenplay, Burk Sharpless screenplay, Bram Stoker characters,,,,,,
Sabotage,David Ayer,,188,5.7,R,109,2014-03-28,Action, Crime, Drama, Thriller,,,Arnold Schwarzenegger, Sam Worthington, Joe Manganiello, Josh Holloway,Skip Woods, David Ayer,,,,,,,
Taking Lives,D.J. Caruso,,189,6.2,R,103,2004-03-19,Crime, Mystery, Thriller,,,,Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands,Michael Pye novel, Jon Bokenkamp screen story, Jon Bokenkamp screenplay,,,,,,
Stigmata,Rupert Wainwright,,190,6.2,R,103,1999-09-10,Horror,,,,,,Patricia Arquette, Gabriel Byrne, Jonathan Pryce, Nia Long,Tom Lazarus story, Tom Lazarus screenplay, Rick Ramage screenplay,,,,,,
Seventh Son,Sergei Bodrov,,191,5.5,PG-13,102,2015-02-06,Action, Adventure, Fantasy,,,,Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander,Charles Leavitt screenplay, Steven Knight screenplay, Matt Greenberg screen story, Joseph Delaney novel,,,,,
White Noise,Geoffrey Sax,,192,5.5,PG-13,101,2005-01-07,Drama, Horror, Mystery, Thriller,,,Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice,Niall Johnson,,,,,,,,
Teen Wolf Too,Christopher Leitch,,193,3.2,PG,95,1987-11-20,Comedy, Fantasy,,,,,Jason Bateman, Kim Darby, John Astin, Paul Sand,Jeph Loeb characters, Matthew Weisman characters, Jeph Loeb story, Matthew Weisman story,,,,,
Fatal Beauty,Tom Holland,,194,5.4,R,104,1987-10-30,Action, Comedy, Crime, Drama, Thriller,,Whoopi Goldberg, Sam Elliott, Rubén Blades, Harris Yulin,Bill Svanoe story, Hilary Henkin screenplay, Dean Riesner screenplay,,,,,,
Moontrap,Robert Dyke,,195,5,R,92,1989-06-08,Horror, Sci-Fi,,,,,Walter Koenig, Bruce Campbell, Leigh Lombardi, Robert Kurcz,Tex Ragsdale screenplay,,,,,,,,
Twisted,Philip Kaufman,,196,5.3,R,97,2004-02-27,Crime, Drama, Mystery, Thriller,,,Ashley Judd, Samuel L. Jackson, Andy Garcia, David Strathairn,Sarah Thorp,,,,,,,,
Next of Kin,John Irvin,,197,5.8,R,108,1989-10-20,Action, Crime, Thriller,,,,Patrick Swayze, Liam Neeson, Adam Baldwin, Helen Hunt,Michael Jenning,,,,,,,,
The Juror,Brian Gibson,,198,5.6,R,118,1996-02-02,Drama, Thriller,,,,,Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini,George Dawes Green novel, Ted Tally screenplay,,,,,,,
Red Heat,Walter Hill,,200,6.1,R,104,1988-06-17,Action, Comedy, Crime, Thriller,,,Arnold Schwarzenegger, Jim Belushi, Peter Boyle, Ed O'Ross,Walter Hill story, Harry Kleiner screenplay, Walter Hill screenplay, Troy Kennedy-Martin screenplay,,,,,
Loverboy,Joan Micklin Silver,,201,6,PG-13,98,1989-04-28,Comedy,,,,,,Patrick Dempsey, Kate Jackson, Robert Ginty, Nancy Valen,Robin Schiff story, Robin Schiff screenplay, Tom Ropelewski screenplay, Leslie Dixon screenplay,,,,,
Teen Witch,Dorian Walker,,202,6.2,PG-13,90,1989-04-28,Comedy, Fantasy, Romance,,,,Robyn Lively, Dan Gauthier, Joshua John Miller, Caren Kaye,Robin Menken, Vernon Zimmerman,,,,,,,
House Arrest,Harry Winer,,203,5.8,PG,108,1996-11-27,Comedy, Family,,,,,Kyle Howard, Herbert Russell, Jamie Lee Curtis, Kevin Pollak,Michael Hitchcock,,,,,,,,
Blind Fury,Phillip Noyce,,204,6.3,R,86,1990-03-16,Action, Comedy, Crime, Drama, Thriller,,Rutger Hauer, Terry O'Quinn, Brandon Call, Noble Willingham,Ryôzô Kasahara earlier screenplay, Charles Robert Carner screen story, Charles Robert Carner screenplay,,,,,,
Space Jam,Joe Pytka,,205,6.4,PG,88,1996-11-15,Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi, Sport,Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington,Leo Benvenuti, Steve Rudnick, Timothy Harris,,,,,
The Lost World: Jurassic Park,Steven Spielberg,,206,6.5,PG-13,129,1997-05-23,Action, Adventure, Sci-Fi,,,,Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard,Michael Crichton novel, David Koepp screenplay,,,,,,,
Stealth,Rob Cohen,,207,5,PG-13,121,2005-07-29,Action, Adventure, Sci-Fi, Thriller,,,Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard,W.D. Richter,,,,,,,,
Camp Nowhere,Jonathan Prince,,208,6,PG,96,1994-08-26,Adventure, Comedy, Family,,,,John Putch, Peter Scolari, Romy Windsor, Jonathan Jackson,Andrew Kurtzman, Eliot Wald,,,,,,,
Son of the Mask,Lawrence Guterman,,209,2.2,PG,94,2005-02-18,Comedy, Family, Fantasy,,,,Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer,Lance Khazei,,,, Michael Ferris screenplay,,,,
Terminator 3: Rise of the Machines,Jonathan Mostow,,210,6.3,R,109,2003-07-02,Action, Sci-Fi,,,,,Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken,James Cameron characters, Gale Anne Hurd characters, John Brancato story, Michael Ferris story,,,,,
DragonHeart,Rob Cohen,,211,6.4,PG-13,103,1996-05-31,Action, Adventure, Fantasy,,,,Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer,Patrick Read Johnson story, Charles Edward Pogue story, Charles Edward Pogue screenplay,,,,,,
The Matrix Revolutions,Lana Wachowski, Lilly Wachowski,212,6.7,R,129,2003-11-05,Action, Sci-Fi,,,,,Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan,Lilly Wachowski, Lana Wachowski, Lilly Wachowski characters, Lana Wachowski characters,,,,,
The League of Extraordinary Gentlemen,Stephen Norrington,,213,5.8,PG-13,110,2003-07-11,Action, Adventure, Fantasy, Sci-Fi,,,Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran,Alan Moore comic books, Kevin O'Neill comic books, James Robinson screenplay,, Marc Guggenheim screen story,,,,
Green Lantern,Martin Campbell,,214,5.5,PG-13,114,2011-06-17,Action, Adventure, Sci-Fi,,,,Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong,Greg Berlanti screenplay, Michael Green screenplay, Marc Guggenheim screenplay, Michael Goldenberg screenplay,,,,,
Mortal Kombat: Annihilation,John R. Leonetti,,215,3.7,PG-13,95,1997-11-21,Action, Adventure, Fantasy, Sci-Fi, Thriller,,Robin Shou, Talisa Soto, James Remar, Sandra Hess,Ed Boon video games, Lawrence Kasanoff story, Joshua Wexler story, John Tobias story,,,,,
Cyber Seduction: His Secret Life,Tom McLoughlin,,216,3.7,TV-14,87,2005-06-20,Drama,,,,,,Jeremy Sumpter, Lyndsy Fonseca, John Robinson, Jake Scott,Wesley Bishop teleplay, Richard Kletter teleplay, Wesley Bishop story,,,,,,
The Dead Pool,Buddy Van Horn,,217,6.3,R,91,1988-07-13,Action, Crime, Mystery, Thriller,,,Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim,Harry Julian Fink characters, Rita M. Fink characters, Steve Sharon story, Durk Pearson story,,,,,
The Devil's Advocate,Taylor Hackford,,218,7.5,R,144,1997-10-17,Drama, Mystery, Thriller,,,,Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones,Andrew Neiderman novel, Jonathan Lemkin screenplay, Tony Gilroy screenplay,,,,,,
Brainscan,John Flynn,,219,6.1,R,96,1994-04-22,Comedy, Horror, Sci-Fi, Thriller,,,Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves,Brian Owens story, Andrew Kevin Walker screenplay,,,,,,,
Killer Workout,David A. Prior,,220,4.9,R,85,1987-04-16,Horror,,,,,,Marcia Karr, David Campbell, Fritz Matthews, Ted Prior,David A. Prior,,,,,,,,
Freddy vs. Jason,Ronny Yu,,221,5.8,R,97,2003-08-15,Action, Horror,,,,,Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter,Wes Craven characters, Victor Miller characters, Damian Shannon, Mark Swift,,,,,
Thinner,Tom Holland,,222,5.7,R,93,1996-10-25,Fantasy, Horror,,,,,Robert John Burke, Lucinda Jenney, Bethany Joy Lenz, Time Winters,Stephen King novel, Michael McDowell screenplay, Tom Holland screenplay,,,,,,
Never Say Never Again,Irvin Kershner,,223,6.2,PG,134,1983-10-07,Action, Adventure, Thriller,,,,Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera,Kevin McClory based on an original story by, Jack Whittingham based on an original story by, Ian Fleming based on an original story by, Lorenzo Semple Jr. screenplay,,,,,
Supergirl,N/A,,224,6.5,TV-PG,43,2015-10-26,Action, Adventure, Drama, Sci-Fi,,,Melissa Benoist, Mehcad Brooks, Chyler Leigh, David Harewood,Ali Adler, Greg Berlanti, Andrew Kreisberg,,,,,,
Weekend at Bernie's,Ted Kotcheff,,225,6.4,PG-13,97,1989-07-05,Adventure, Comedy, Crime,,,,Andrew McCarthy, Jonathan Silverman, Catherine Mary Stewart, Terry Kiser,Robert Klane,,,,,,,,
Weekend at Bernie's II,Robert Klane,,226,4.7,PG,97,1993-07-09,Adventure, Comedy, Fantasy,,,,Andrew McCarthy, Jonathan Silverman, Terry Kiser, Troy Byer,Robert Klane characters, Robert Klane,,,,,,,
Care Bears Movie II: A New Generation,Dale Schott,,227,5.4,G,76,1986-03-21,Animation, Adventure, Comedy, Family, Fantasy, Musical,Hadley Kay, Chris Wiggins, Cree Summer, Alyson Court,Peter Sauder,,,,,,,,
Kill Bill: Vol. 1,Quentin Tarantino,,228,8.1,R,111,2003-10-10,Action, Crime, Thriller,,,,Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah,Quentin Tarantino, Quentin Tarantino character The Bride, Uma Thurman character The Bride,,,,,,
Star Wars: Episode II - Attack of the Clones,George Lucas,,229,6.6,PG,142,2002-05-16,Action, Adventure, Fantasy, Sci-Fi,,,Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee,George Lucas screenplay by, Jonathan Hales screenplay by, George Lucas story by,,,,,,
Santa Claus: The Movie,Jeannot Szwarc,,230,6.1,PG,107,1985-11-27,Adventure, Family, Fantasy,,,,Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith,David Newman story, Leslie Newman story, David Newman screenplay,,,,,,
Entourage,N/A,,231,8.5,TV-MA,28,2004-07-18,Comedy, Drama,,,,,Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara,Doug Ellin,,,,,,,,
Russell Madness,Robert Vince,,232,4.3,PG,92,2015-05-10,Family,,,,,,Sean Giambrone, David Milchard, Steve Richmond, Jesse Reid,Aaron Brooks screenplay, Kirsten Hansen screenplay, Anna McRoberts screenplay, Anna McRoberts story,,,,,
Pixels,Chris Columbus,,233,5.6,PG-13,105,2015-07-24,Action, Comedy, Sci-Fi,,,,Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage,Tim Herlihy screenplay, Timothy Dowling screenplay, Tim Herlihy screen story, Patrick Jean short film,,,,,
The Last Witch Hunter,Breck Eisner,,234,6,PG-13,106,2015-10-23,Action, Adventure, Fantasy,,,,Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson,Cory Goodman, Matt Sazama, Burk Sharpless,,,,,,
American Shaolin,Lucas Lowe,,235,5.9,PG-13,106,1992-07-23,Action,,,,,,Reese Madigan, Trent Bushey, Daniel Dae Kim, Billy Chang,Keith W. Strandberg,,,,,,,,
Daredevil,N/A,,236,8.7,TV-MA,54,2015-04-10,Action, Crime, Drama, Fantasy, Sci-Fi, Thriller,Charlie Cox, Deborah Ann Woll, Elden Henson, Vincent D'Onofrio,Drew Goddard,,,,,,,,
The Watcher,Joe Charbanic,,237,5.3,R,97,2000-09-08,Crime, Horror, Mystery,,,,James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson,Darcy Meyers story, David Elliot story, David Elliot screenplay, Clay Ayers screenplay,,,,,
Olympus Has Fallen,Antoine Fuqua,,238,6.5,R,119,2013-03-22,Action, Thriller,,,,,Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott,Creighton Rothenberger, Katrin Benedikt,,,,,,,
The Shadow,Russell Mulcahy,,239,6,PG-13,108,1994-07-01,Action, Adventure, Crime, Fantasy, Mystery, Thriller,Alec Baldwin, John Lone, Penelope Ann Miller, Peter Boyle,Walter B. Gibson character The Shadow from stories, David Koepp,,,,,,,
A Letter from Death Row,Marvin Baker, Bret Michaels,240,4.1,R,89,1998-11-17,Crime, Drama, Mystery,,,,Bret Michaels, Martin Sheen, Kristi Gibson, Simon Elsworth,Bret Michaels,,,,,,,,
Nightmare Beach,James Justice, Umberto Lenzi,241,5.4,R,90,1989-09-01,Horror,,,,,,Nicolas De Toth, Sarah Buxton, Rawley Valverde, Lance LeGault,Umberto Lenzi story, Vittorio Rambaldi story, Umberto Lenzi screenplay, James Justice screenplay,,,,,
