Title,Director,Director2,Episode,IMDb,Rating,Runtime,Release Date,Genre,Genre3,Genre4,Genre5,Genre6,Genre7,Actor,Actor8,Actor9,Actor10,Writer,Writer11,Writer12,Writer13,,,,,
Babycakes,Paul Schneider,,30,6.8,M,100,1989-02-14,Comedy, Drama, Romance,,,,Ricki Lake, Craig Sheffer, Nada Despotovich, Paul Benedict,Percy Adlon screenplay &quot;Zuckerbaby&quot;, Joyce Eliason teleplay,,,,,,,
Judge Dredd,Danny Cannon,,31,5.5,R,96,1995-06-30,Action, Crime, Sci-Fi, Thriller,,,Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow,John Wagner characters, Carlos Ezquerra characters, Michael De Luca story, William Wisher story,,,,,
No Retreat  No Surrender,Corey Yuen,,32,5.7,PG,85,1986-05-02,Action, Comedy, Crime, Drama,,,Kurt McKinney, Jean-Claude Van Damme, J.W. Fails, Kathie Sileno,See-Yuen Ng original story, Corey Yuen original story, Keith W. Strandberg screenplay,,,,,,
Ewoks: The Battle for Endor,Jim Wheat, Ken Wheat,33,5.5,N/A,94,1985-11-24,Adventure, Family, Fantasy, Sci-Fi,,,Wilford Brimley, Warwick Davis, Aubree Miller, Siân Phillips,Ken Wheat screenplay, Jim Wheat screenplay, George Lucas story,,,,,,
Poison Ivy,Katt Shea,,34,5.4,R,90,1992-05-08,Drama, Thriller,,,,,Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd,Melissa Goddard story, Andy Ruben screenplay, Katt Shea screenplay,,,,,,
Pelle the Conqueror,Bille August,,36,7.9,PG-13,157,1988-12-21,Drama,,,,,,Pelle Hvenegaard, Max von Sydow, Erik Paaske, Björn Granath,Martin Andersen Nexø novel, Bille August screenplay, Per Olov Enquist, Bjarne Reuter,,,,,
Jack Frost,Troy Miller,,37,5.3,PG,101,1998-12-11,Comedy, Drama, Family, Fantasy,,,Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy,Mark Steven Johnson story, Mark Steven Johnson screenplay, Steve Bloom screenplay, Jonathan Roberts screenplay,,,,,
Money Train,Joseph Ruben,,38,5.6,R,110,1995-11-22,Action, Comedy, Crime, Drama, Thriller,,Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake,Doug Richardson story, Doug Richardson screenplay, David Loughery screenplay,,,,,,
The Adventures of Ford Fairlane,Renny Harlin,,39,6.3,R,104,1990-07-11,Action, Adventure, Comedy, Crime, Music, Mystery,Andrew Dice Clay, Wayne Newton, Priscilla Presley, Morris Day,Daniel Waters screenplay, James Cappe screenplay, David Arnott screenplay, James Cappe story,,,,,
Hider in the House,Matthew Patrick,,40,5.9,R,104,1991-08-29,Thriller,,,,,,Gary Busey, Mimi Rogers, Michael McKean, Kurt Christopher Kinder,Lem Dobbs,,,,,,,,
